Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2016.0929995353,0.0236279091,0.0087907908,0.029897179,0.0182408047,0.0318825957,0.0464037673,0.0260778356,0.0193604298,0.0092496462,0.015169744,0.0138391853,0.0136960326,0.0267137338,0.0186494728,0.0186869466,0.0089313138,0.0066396597,0.010145237,0.0086085129,0.0366676119,0.0307988168,0.0287023191,0.0508643018,0.0674612478,0.02606387,0.0393726927,0.044561301,0.0114580642,0.0265993311,0.0566801053,0.0291092886,0.017797675,0.0312760757,0.0144586699,0.0195507296,0.0186369104,0.0108240163,0.0163779871,0.0142001555,0.0157356928
2089.6921407077,0.0096229258,0.0044416346,0.0259149764,0.0218878583,0.0258062942,0.0275056023,0.0222104617,0.0205196074,0.0146106137,0.0465613806,0.0108606924,0.0208815282,0.0223655514,0.0100248983,0.0301729312,0.0023516935,0.0092463179,0.0061281193,0.0070294877,0.020795416,0.0191676546,0.031117609,0.0399389214,0.0412627864,0.0220187006,0.042383349,0.0261460025,0.0382415731,0.0186080436,0.0416534892,0.0539197242,0.0302998033,0.0160314849,0.0062809288,0.0229244258,0.0154494041,0.0126596708,0.0227027904,0.0037946637,0.0135079538
2162.0078398994,0.0035976716,0.0017634216,0.006907564,0.007732025,0.0067313645,0.0070693045,0.0059113956,0.0050609944,0.0039323393,0.0116592663,0.0030569661,0.0052573414,0.0078621522,0.0036358684,0.0079733411,0.0016925566,0.0034632055,0.0027400857,0.0024222334,0.0078358164,0.0074677632,0.0107087616,0.0086561469,0.0116750302,0.0062647114,0.0099130939,0.0071430745,0.0094500469,0.004549729,0.0108858346,0.0120725497,0.0073513702,0.0060692488,0.0023402429,0.0085336003,0.0056399077,0.0042705843,0.0070682391,0.0034680525,0.0047860894
2222.1235922408,0.0107073125,0.0054555861,0.0087226942,0.0200468392,0.0102341904,0.0111680584,0.0116860783,0.0121861884,0.0092781364,0.0192278361,0.0084021045,0.0167153756,0.0108347346,0.0091429085,0.015141672,0.0047405118,0.0074638141,0.0069189504,0.0070973712,0.0107055141,0.017139204,0.0195709349,0.0234167458,0.0199588908,0.0171041489,0.0262421102,0.0154554369,0.0177650507,0.0094961193,0.0151633561,0.0246174211,0.0178952295,0.0129280986,0.0069597476,0.0154408742,0.0098399383,0.0123626753,0.0184049744,0.0051645639,0.0106888871
2275.4640452023,0.0032836076,0.0016184798,0.0085106564,0.0056384582,0.0086812776,0.0096070211,0.0071673614,0.0058258712,0.0042413015,0.0119845661,0.0037653029,0.0054727754,0.0072795912,0.003621033,0.0087857716,0.0015207925,0.0027029286,0.0021824773,0.0020979624,0.0073146914,0.0067863471,0.0085021646,0.0138663625,0.0153734521,0.0065792709,0.0104911028,0.0090510448,0.0094923718,0.0053489755,0.0130209929,0.0115813902,0.0077894276,0.0064058971,0.0024348601,0.0060064762,0.0047049245,0.0034854109,0.0058900751,0.003143037,0.0038819015
2326.4216517786,0.0027191138,0.0014580635,0.0053573709,0.0051681182,0.0057599162,0.0057700049,0.0045405769,0.0037285636,0.0027524803,0.0071366046,0.0025126222,0.0030861077,0.0067974196,0.0030321828,0.004970671,0.0011661369,0.0025498548,0.0025850403,0.0022862369,0.0070051477,0.0065809587,0.0074521331,0.0062918949,0.0100480399,0.0046706127,0.0061916646,0.0063451364,0.0054328864,0.0032470936,0.0078750169,0.0067427039,0.0472143885,0.0068788842,0.0022422452,0.0061814981,0.0047201538,0.003216825,0.005007183,0.0029391926,0.0035851074
2405.3180154882,0.0095452948,0.0042430467,0.0311038338,0.0171072818,0.0328285785,0.0331023875,0.0261188987,0.0209465308,0.0153741363,0.0403659916,0.0133708247,0.0170174221,0.0231596446,0.0102822775,0.0302265063,0.0016660337,0.0083583108,0.0068129219,0.0069249187,0.0239969234,0.0218120635,0.0258052143,0.0342154274,0.0551500721,0.0254274415,0.0373715645,0.0352560163,0.0334710423,0.0178884895,0.0460430417,0.0393741921,0.0275963914,0.0224939021,0.0078304018,0.0188319208,0.0147787673,0.010214756,0.0166843075,0.0027193754,0.0118491369
2457.0102791846,0.0030918566,0.001060904,0.0043394234,0.0040238089,0.0040287446,0.0062811709,0.004136205,0.0029676728,0.0019585045,0.0045547068,0.002107587,0.0027007689,0.0045134336,0.0023226817,0.0051249223,0.0010059031,0.0023768442,0.001921863,0.0018843943,0.0055165155,0.0051693781,0.0044767031,0.005326599,0.0095929451,0.0034461262,0.0060139949,0.0062742403,0.0033410787,0.003989413,0.0086547394,0.0060740198,0.0046170192,0.0042612868,0.0016639437,0.0041212402,0.0028953073,0.0020361431,0.0036083831,0.0025824088,0.0027769043
2553.6254905711,0.0038067948,0.0019708304,0.009360059,0.0064216858,0.0108551992,0.0093277302,0.0073672673,0.006103078,0.0043966759,0.0127231481,0.0044804712,0.0047478105,0.0086815766,0.0045586772,0.0084830008,0.00138545,0.0033187751,0.0028372376,0.0029818551,0.0096099266,0.0097017566,0.011103338,0.0117244758,0.0183036848,0.0086896737,0.0116246261,0.0122881064,0.009991155,0.0054370881,0.0138806212,0.0122542047,0.0081742477,0.0100990902,0.0036005497,0.0077593796,0.0057409731,0.0046402427,0.0071519467,0.0032870119,0.00443504
2674.4102249487,0.0095853062,0.0047156594,0.0087022851,0.0150679004,0.0156911261,0.0090919572,0.0081308417,0.0085096536,0.0099183258,0.0123369074,0.0065743275,0.0148268422,0.0097844919,0.0076977686,0.0105326318,0.0045988893,0.0088239668,0.0075240873,0.0086519046,0.0098958695,0.0118944436,0.0141973624,0.0331832883,0.005822761,0.0153704073,0.0282993879,0.0104770014,0.017613226,0.00993671,0.0102331266,0.0163727794,0.037881915,0.0081370574,0.0047981135,0.0113518266,0.008368189,0.0135143016,0.010960483,0.0049205765,0.0109860139
