Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2016.0929995353,0.0141132579,0.0053527085,0.0165682976,0.010875743,0.0200418732,0.0303355763,0.0146950658,0.011285881,0.0059758995,0.0094134616,0.0083307438,0.0087034936,0.0169590231,0.0106064976,0.0122275071,0.0060500695,0.0047403681,0.0070817885,0.0056166103,0.0221476418,0.0181219409,0.0189891251,0.0311581865,0.0312512505,0.0138129568,0.0246045243,0.0211415811,0.007095905,0.0163652392,0.02428082,0.0138878178,0.0112736982,0.0200431978,0.0076891543,0.0112134549,0.0116659515,0.005988989,0.0096160695,0.0088271988,0.0088507949
2017.1503360284,0.0162236151,0.0057022553,0.02010344,0.0127402363,0.0220280152,0.0309409925,0.0180122842,0.0134613094,0.0062116627,0.0111602605,0.0096653396,0.0094163558,0.0182836694,0.0131271274,0.0125802296,0.0062415999,0.0048060942,0.00699068,0.0063222657,0.025804077,0.022387578,0.0193805453,0.0383119079,0.0491330974,0.0180132998,0.0288428888,0.0325877153,0.008621439,0.0177565183,0.0418526404,0.0213775893,0.0124558299,0.0220088126,0.0101254301,0.0140908485,0.0129096363,0.007920324,0.0118598734,0.0094577414,0.0110864144
2089.6921407077,0.006607383,0.0028811212,0.0174257302,0.0152875102,0.0178298356,0.0183401194,0.0153410411,0.0142672858,0.0098118569,0.0342548389,0.0075851488,0.014356559,0.0153076448,0.0070563988,0.0203127034,0.0016434682,0.0066929145,0.0042776768,0.0051625977,0.0146343459,0.0139329171,0.0210114113,0.0300827147,0.0300523422,0.0152175965,0.0310483775,0.0191205927,0.0287742665,0.0124218938,0.0307569736,0.0395981412,0.0212055336,0.0112812729,0.0043985447,0.0165223814,0.0107016766,0.0092635387,0.0164398847,0.002527363,0.0095168847
2106.3698652473,0.0028269318,0.0018811273,0.0046331874,0.0039393593,0.0043948069,0.0042498337,0.0035292339,0.0029938759,0.0017941732,0.004780822,0.0020220446,0.0021226733,0.004690137,0.0030285113,0.0035307174,0.0014639025,0.0021393567,0.0020475257,0.0020323445,0.0054568285,0.0056384255,0.0055021191,0.0070778234,0.0094288039,0.0036259038,0.0050894238,0.0054826434,0.0038932857,0.0030867168,0.0076831754,0.0049420654,0.0032516803,0.0054016151,0.0023660069,0.0043411934,0.0034219835,0.002585734,0.0038166866,0.0023542992,0.0029599327
2162.0078398994,0.0013737589,0.0011069057,0.0022053574,0.0023533351,0.0022572887,0.0021533861,0.0019461352,0.0014510021,0.0012571225,0.0036703341,0.001129974,0.0015329142,0.0024848941,0.0012963915,0.0024920628,0.0010263206,0.0012153695,0.0011437287,0.0010818857,0.0025364727,0.0025184577,0.002931921,0.0025691737,0.0038797382,0.0019906091,0.0032949455,0.0021006205,0.0029797449,0.0016627125,0.0029841657,0.0025150098,0.0019252106,0.0024905859,0.0008774587,0.0026149071,0.0016895665,0.0012934861,0.0019443712,0.0023098299,0.0014741471
2163.1043026293,0.0024702668,0.0011438653,0.0046447793,0.0054004101,0.0046507694,0.0047136539,0.0040830742,0.0035189101,0.0026407892,0.0085776298,0.0021349967,0.0036145502,0.0053810895,0.0025592417,0.0053677288,0.0011828339,0.002506829,0.0019126914,0.0017789371,0.0055142945,0.0054282972,0.0072308317,0.0065199657,0.0085031098,0.0043296765,0.0072619434,0.0052237362,0.0071105383,0.0030371947,0.00803811,0.0088659676,0.0051449089,0.004270899,0.0016388759,0.0061504441,0.0039067182,0.0031249409,0.0051183592,0.002047585,0.0033719882
2222.1235922408,0.0073519547,0.0035388334,0.0058653079,0.0140016558,0.007070908,0.0074466112,0.0080717191,0.0084730584,0.0062307955,0.0141457667,0.0058680617,0.0114922277,0.0074156128,0.0064355774,0.0101935172,0.0033128808,0.0054026554,0.0048297091,0.0052124528,0.0075337852,0.0124584418,0.0132147995,0.0176379146,0.014536377,0.0118210443,0.0192239396,0.0113025735,0.0133670313,0.0063391826,0.0111966357,0.0180788038,0.0125241041,0.0090974361,0.0048739226,0.0111287416,0.0068160452,0.0090462163,0.0133276858,0.0034397588,0.0075307413
2259.2483721689,0.0022546212,0.001049847,0.0057227296,0.0039381645,0.0059979845,0.0064057465,0.0049505854,0.0040507291,0.0028482748,0.0088169504,0.0026297018,0.0037626663,0.0049823675,0.0025487992,0.0059146647,0.0010627975,0.0019565053,0.001523458,0.001540786,0.0051475635,0.0049329776,0.0057408806,0.0104443939,0.0111967292,0.0045470753,0.00768537,0.0066190364,0.0071423849,0.0035707357,0.0096147128,0.0085052646,0.0054514865,0.0045077966,0.0017051365,0.0043290633,0.003259063,0.0025504012,0.0042652094,0.0020933596,0.0027349523
2275.4640452023,0.0008756595,0.0006297335,0.0014273134,0.001285696,0.0007852853,0.0014705675,0.0008746238,0.0008970691,0.0005259154,0.0015080672,0.0005474415,0.0012277392,0.0013597379,0.0007925509,0.0010481289,0.0008923222,0.0006433632,0.000918697,0.0006028054,0.0013367231,0.0014764035,0.001400473,0.0060163515,0.0022845718,0.0009559582,0.0015618854,0.0015646372,0.0011013592,0.0010317486,0.0020266904,0.0016253196,0.0017156138,0.0013592026,0.0004700785,0.0015677887,0.0009486995,0.000947034,0.0015847813,0.0017349568,0.0008758787
2326.4216517786,0.0018670233,0.000945791,0.0036023996,0.0036096569,0.0039795857,0.00384731,0.0031362327,0.0025924708,0.0018484468,0.0052503435,0.0017548249,0.0021217742,0.004652355,0.002134315,0.0033463029,0.0008149484,0.0018457034,0.0018044634,0.0016790586,0.0049297285,0.0047836814,0.0050318723,0.0047391685,0.0073181469,0.0032279606,0.0045357704,0.0046402033,0.0040878894,0.0021676138,0.0058149195,0.0049517787,0.0330433268,0.0048406352,0.001570248,0.0044552073,0.0032696122,0.0023538671,0.0036258763,0.0019575929,0.0025258491
