Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2000.830835439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094077558,0.0125604444,0.0133483923,0.0297767776,0,0.0093582097,0,0.0061888697,0,0.0246921005,0.0102882426,0,0,0,0,0,0,0.0305835382,0,0,0.0236549955,0,0,0.0266436018,0,0,0,0,0,0,0,0,0,0
2009.6100076264,0,0,0.0095930621,0,0.0094254462,0.0105971286,0,0,0,0.0084935523,0,0,0.0093753084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010283449,0,0,0,0,0.0080954264,0,0.0151924205,0.0116908442,0,0.0105114081,0.0092803057,0,0,0.0113957426,0.0110777447,0,0.0093055701,0,0,0,0,0.0075854204,0,0
2016.0929995353,0.0217089798,0.0074979704,0.02972689,0.0180239843,0.0302089572,0.0420894615,0.024011776,0.0198969931,0.0090259212,0.0143580794,0.0135143774,0.0125759702,0.0264571736,0.0163785273,0.0174077099,0,0,0.0088412771,0.0074977924,0.0363741918,0.0140776743,0.0088344319,0.0154177695,0.0120377393,0.0150563166,0.0076957136,0.0109781952,0.0231742382,0.0211478504,0.0238201895,0.0409321595,0,0.014216215,0.0178399613,0.0106624057,0.0084428812,0.0346625031,0.0161462546,0.0184306233,0,0.0218264901,0.0280466104,0.025578068,0.0515724026,0.0551882122,0.0237549388,0.0356057609,0.0438077562,0.0119941095,0.0234764742,0.056399347,0.0299556417,0.0146848116,0.0288502101,0.0123735053,0.0187585057,0.0173095701,0.0104744872,0.0148562971,0.0106447057,0.0162756745
2034.79944451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0082944653,0,0,0,0,0,0.0094607496,0,0,0,0,0,0,0,0,0,0
2041.1213615263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108200258,0.0084411898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2051.2568612155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100896459,0,0,0,0,0,0.0096659138,0.0093583142,0,0,0,0,0,0,0,0,0
2058.8749893012,0.0088414046,0,0.0257673694,0.021627687,0.0244516238,0.024948319,0.0204508012,0.0210882967,0.0142572209,0.0440700912,0.0106057902,0.0191738356,0.0221507514,0.0088041668,0.028107408,0,0.0090388766,0,0,0.0206290077,0.0317967141,0.0107794773,0.0215306718,0.0169707394,0.0116763612,0.0192518624,0.0091063907,0.011871035,0.0147481032,0.0150681326,0.0235044397,0.0120880489,0,0.0191481212,0,0,0.0257509817,0.0115302763,0.0140538325,0,0.0252543612,0.0174548179,0.0277304533,0.0404949259,0.0337559634,0.0200681206,0.0383283765,0.0257038659,0.0400306378,0.0164233925,0.0414471635,0.0554874412,0.0250002825,0.0147880351,0,0.0219954948,0.0143490813,0.0122508647,0.0205934586,0,0.013971489
2065.234235232,0,0,0.0114094251,0,0.0096095724,0.0093950413,0.0071702116,0,0,0.0095929259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009363617,0,0,0,0,0,0,0.0199642995,0.0149073674,0,0.0106929941,0.0115354001,0,0,0.0139984581,0.0117029982,0,0,0,0,0,0,0,0,0
2080.5365058962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010342867,0.0085002225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2089.4889616701,0,0,0.0129762968,0.0100230016,0.0120786136,0.0129740351,0.0096945503,0.0082954443,0,0.012359034,0,0,0.0145139921,0,0.0109727149,0,0,0,0,0.014752906,0.0105827169,0,0.0101223393,0.0081167587,0,0.0079799704,0.0071751874,0,0.010467248,0.0118583268,0.0181472596,0,0,0.0098089707,0,0,0.0204074372,0.0083115611,0.0092989293,0,0,0.0121555501,0.0125244802,0.0098202585,0.020086006,0.0090943417,0.0110968743,0.0145077429,0.0119471357,0,0.018307017,0.012222327,0,0.0134142601,0,0.01033514,0.0086112886,0,0.0080087246,0,0
