Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2016.0929995353,0.0202166577,0.0074903547,0.0255987028,0.0159700763,0.0275684379,0.0397695768,0.0229032607,0.0171296125,0.0079497251,0.0133123575,0.0119678783,0.0121480661,0.0229738384,0.0160712082,0.0160454916,0.0077261412,0.0056269766,0.0085495565,0.0073414654,0.0310672391,0.0124513074,0.008026016,0.0133981049,0.0106694703,0.0135631064,0.0064324476,0.0112773532,0.0227741566,0.0180200764,0.0237722008,0.0352658992,0.006409637,0.0162723678,0.015710583,0.0114488927,0.0083990956,0.0331740506,0.0150285523,0.0167160134,0.006706153,0.0195080911,0.0269654021,0.0234772625,0.0439825263,0.0582205115,0.0226893123,0.0351195663,0.0385792369,0.0100992789,0.022732696,0.0494927587,0.0252849765,0.0139495279,0.0269360217,0.0123306741,0.0174469205,0.0161051634,0.0094868436,0.0143535862,0.0117790266,0.01357055
2089.6921407077,0.0082336273,0.0037845763,0.0221890427,0.019163122,0.0223143443,0.0235732188,0.01950668,0.0181552231,0.0125572763,0.0408603958,0.0093921313,0.0185214356,0.0192343971,0.0086389695,0.0259078984,0.002034361,0.0078360665,0.005164266,0.0059948497,0.0176192592,0.0281233004,0.0097930753,0.018710242,0.0150417613,0.0105183581,0.0160916325,0.0093545416,0.0116660927,0.012566854,0.015037776,0.0202507078,0.0101616641,0.003996815,0.0168626008,0.0063532501,0.0045117007,0.0246452014,0.0107321088,0.0127463976,0.0058001262,0.0225718554,0.0167819276,0.0254528658,0.0345353145,0.0356106744,0.0191678817,0.0378050048,0.0226360722,0.0337065935,0.0159030691,0.0363715995,0.0468358735,0.0237484925,0.0138068608,0.0053565153,0.020457581,0.0133506666,0.0110957258,0.0198966123,0.0031476729,0.0116493354
2106.3698652473,0.0035227113,0.0024710066,0.0058996663,0.0049380457,0.005500176,0.005462465,0.0044875465,0.0038097285,0.0022961942,0.0057027353,0.002503749,0.0027384666,0.0058932617,0.0037077293,0.0045032641,0.0018120863,0.0025047596,0.0024718949,0.0023599746,0.0065698376,0.0045695231,0.0022674982,0.0041718407,0.0032500938,0.003313964,0.0025786541,0.0028534957,0.0042150286,0.0040403579,0.0059615718,0.0072766431,0.0021869141,0.0025653637,0.006320679,0.002563747,0.0020240616,0.0073093029,0.0035818167,0.003501446,0.0017883188,0.0043116918,0.0067913739,0.0066651734,0.0081254255,0.0111727087,0.0045671401,0.0061969644,0.0064906728,0.0045606513,0.0039517542,0.0090857242,0.0058453741,0.0036416204,0.0066108983,0.0028813058,0.0053751522,0.0042690284,0.0030971528,0.0046192011,0.0029321327,0.0036231656
2162.0078398994,0.003078262,0.0015025558,0.0059144268,0.0067694946,0.0058205174,0.0060586299,0.0051917742,0.0044778382,0.0033796986,0.0102317034,0.0026436092,0.004663141,0.0067614589,0.0031332145,0.0068462858,0.0014641666,0.0029349962,0.0023091148,0.002065716,0.0066390247,0.0068950314,0.0028723043,0.0048258927,0.0041335335,0.0028889412,0.0044240818,0.0029279722,0.0029205814,0.0036308054,0.0042225953,0.0059975697,0.0027667611,0.0013812072,0.0044656679,0.0021606603,0.0014513651,0.0068825686,0.0029363731,0.0034984634,0.0018311101,0.0056629516,0.0065382784,0.0087593064,0.0074849982,0.0100758028,0.0054536028,0.0088422593,0.0061841634,0.0083293878,0.0038883537,0.0095054514,0.0104864855,0.0057618843,0.0052270438,0.001995811,0.0076153192,0.0048737496,0.0037430067,0.0061945695,0.002876749,0.0041275504
2222.1235922408,0.009161457,0.0046485323,0.0074685862,0.0175512844,0.0088493624,0.0095713987,0.0102634782,0.0107820274,0.0079742113,0.016873576,0.0072659887,0.014826154,0.0093178828,0.0078789137,0.013001352,0.0041008371,0.0063254307,0.0058307122,0.0060527417,0.0090704234,0.0154864121,0.0067160834,0.0079592511,0.0117434167,0.0062306721,0.0096591811,0.0055659609,0.0094278508,0.0071532439,0.0081890192,0.0134175631,0.0069586347,0.0036706068,0.0091428063,0.0050885116,0.0047759226,0.0122587885,0.0101339614,0.0079355867,0.0037637364,0.0153129227,0.0150059508,0.016008183,0.0202485359,0.0172249532,0.0148896299,0.0234073787,0.0133806453,0.0156583345,0.0081157076,0.0132405598,0.0213832403,0.0140259895,0.0111341189,0.005935427,0.0137793172,0.0085032235,0.0108354203,0.0161300277,0.0042840049,0.0092181563
2259.2483721689,0.0028095407,0.0013790555,0.0072870341,0.0049365479,0.0075065802,0.0082335376,0.0062948456,0.0051545817,0.0036452401,0.0105171734,0.0032561661,0.004854226,0.0062604559,0.00312043,0.0075438769,0.0013155799,0.002290677,0.0018392092,0.0017891729,0.006197493,0.006640117,0.0030177073,0.0052917124,0.0039210744,0.0032852259,0.0039602049,0.0033225541,0.0033411991,0.0043051716,0.0052118594,0.007978446,0.0031784283,0.0016470326,0.0047542225,0.0023146407,0.0016101132,0.0093713611,0.0039033852,0.0046982085,0.0018295275,0.0055666116,0.0059416756,0.006954405,0.0119902885,0.0132676207,0.0057274355,0.0093578304,0.007836001,0.0083666934,0.004571417,0.0113698599,0.0100598535,0.0061052265,0.0055169768,0.0020765026,0.0053601331,0.00406578,0.0030548317,0.0051620325,0.0026071487,0.0033477737
2275.4640452023,0.0010911815,0.0008272039,0.0018174686,0.0016116391,0.0009827979,0.0018901736,0.0011121153,0.0011415268,0.0006730698,0.0017988765,0.0006778565,0.0015839096,0.001708541,0.0009702999,0.0013368392,0.0011045577,0.0007532498,0.0011091057,0.0006999824,0.0016093695,0.0023212898,0.0005844545,0.0009375587,0.0009619775,0.0008741191,0.0007757143,0.0008953746,0.0010175497,0.0009201051,0.0013782228,0.0015224886,0.0005510417,0.0007908838,0.0012455639,0.0005176798,0.0004956849,0.0014332167,0.0007566239,0.0007909394,0.0007076713,0.0015452932,0.0017782993,0.0016965091,0.0069068431,0.0027071148,0.0012041121,0.0019017768,0.0018523087,0.0012901482,0.0013208911,0.0023966588,0.0019223949,0.0019213495,0.0016634932,0.0005724581,0.001941195,0.0011835315,0.0011343429,0.0019180049,0.0021607804,0.0010721371
2326.4216517786,0.002326545,0.0012423698,0.0045871133,0.0045247588,0.0049805196,0.0049450867,0.0039878316,0.0032989376,0.0023656539,0.0062627973,0.0021728704,0.0027373066,0.0058457878,0.0026129876,0.004268052,0.0010087809,0.0021609501,0.0021784556,0.0019497362,0.0059352269,0.0037545139,0.0018714655,0.0028949339,0.0022952357,0.0020715813,0.002496464,0.0021461451,0.0018469687,0.0024824344,0.0033311814,0.0043672013,0.0019772343,0.0009990933,0.0026761853,0.0015750049,0.0010493292,0.0060813246,0.0023467213,0.0025749925,0.0011913869,0.0033283279,0.0057618511,0.0060955244,0.0054406219,0.0086716751,0.0040658962,0.0055228271,0.0054933432,0.004788613,0.002775077,0.0068764218,0.0058568628,0.037005869,0.0059243294,0.0019122364,0.0055163213,0.0040789405,0.0028194262,0.0043882702,0.0024380597,0.0030918168
2405.3180154882,0.0081672042,0.0036153659,0.0266318705,0.0149776613,0.0283864161,0.0283698505,0.022939325,0.018532954,0.0132134954,0.0354235715,0.0115628484,0.0150940623,0.019917318,0.0088607665,0.0259539005,0.0014412226,0.0070834985,0.0057413603,0.0059056717,0.0203317892,0.0211481059,0.0107266374,0.0178315097,0.0137411948,0.0113063669,0.0140026055,0.0120512108,0.0108418092,0.014658242,0.0196252871,0.0255926706,0.0108501116,0.0038219313,0.0153596881,0.0085158406,0.0056820803,0.0344313769,0.0135610373,0.0144036014,0.0056662595,0.0181268556,0.0190971967,0.0211075554,0.0295861908,0.0475957014,0.0221352839,0.0333346044,0.030523126,0.029501789,0.0152881136,0.0402045328,0.0342013003,0.0216296023,0.0193725147,0.0066779401,0.016805461,0.0127711331,0.0089528498,0.0146220439,0.0022557214,0.0102187623
2457.0102791846,0.0026454735,0.0009039628,0.0037155215,0.0043407703,0.0034835995,0.005383173,0.0036326858,0.0026257209,0.0016832614,0.0057841348,0.0018226033,0.0024936627,0.0038815575,0.0020015741,0.0044004994,0.0008701687,0.0020143271,0.0016195853,0.0016070389,0.0046739587,0.0060483531,0.0015981791,0.003658496,0.0030390125,0.0029730134,0.0035743017,0.0024061879,0.0031679224,0.0032693367,0.0049323337,0.0067427119,0.0020253249,0.0011757745,0.0042483781,0.0018324191,0.0012584624,0.0064185161,0.0025720845,0.002938676,0.0010515076,0.0047616615,0.0045259647,0.0036617506,0.0046059274,0.0082789184,0.0034842354,0.0053643497,0.0054319644,0.0038444179,0.0034094885,0.0075572712,0.005866945,0.0036187444,0.0036699654,0.001419048,0.003824538,0.0025019918,0.0023585645,0.0039582165,0.0021421077,0.0023948179
