Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
"2000,830835439",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0443387065",0,0,0,0,0,"0,040687534",0,0,0,0,0,0,0,"0,0493075376",0,0,"0,0342560146",0,0,"0,0393555285",0,0,0,0,0,0,0,0,0,0
"2017,1503360284","0,0309129509",0,"0,0421160273",0,"0,045956726","0,0619831742","0,0377521716","0,0288932813",0,0,0,0,"0,0406529798",0,0,0,0,0,0,"0,0601620524",0,0,"0,0231658672",0,0,0,0,"0,0328540238","0,032314439","0,0349920435","0,0609494764",0,0,0,0,0,"0,0571167193",0,0,0,"0,0361202934","0,0415808334","0,0417804872","0,0834652361","0,0889758023","0,0322825333","0,0597746656","0,0634402632",0,"0,0382089228","0,0833080348","0,0455939749",0,"0,040062641",0,"0,0242385093",0,0,0,0,0
"2058,8749893012",0,0,"0,0365063158","0,0334133012","0,0371981252","0,0367402182","0,0321534799","0,0306232245",0,"0,070343055",0,"0,0311975848","0,0340359126",0,"0,0408569835",0,0,0,0,0,"0,0507135829",0,"0,0323507679","0,0256855085",0,"0,0280284522",0,0,0,0,"0,0349989669",0,0,"0,0301941348",0,0,"0,0424323537",0,0,0,"0,0417930199",0,"0,0452963003","0,0655373492","0,0544222","0,0272722139","0,0643453709","0,0372230892","0,0614615441",0,"0,0612220163","0,0844546423","0,0403927975",0,0,"0,028421134",0,0,"0,0333365038",0,0
"2090,7694557438",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0323831563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2211,5731083066",0,0,0,"0,0306028606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0384254605",0,0,"0,0398401341",0,"0,0285518446",0,0,"0,038558348",0,0,0,0,0,0,0,0,0
"2361,2286734954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0629417035",0,0,0,0,0,0,0,0
"2406,3610733402",0,0,"0,0438158368",0,"0,0473202997","0,0442160447","0,0378116176","0,03126036",0,"0,0609833113",0,0,0,0,"0,0409295291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0335628606",0,0,"0,0561454425",0,"0,0314942573","0,0567366013",0,0,0,0,0,"0,0367888676","0,0288132416",0,0,0,0,0,0,0
"2408,880981015",0,0,0,0,0,0,0,0,0,0,0,0,"0,0352443642",0,0,0,0,0,0,"0,0393727348","0,0381355034",0,"0,0308314042",0,0,"0,0243897789",0,0,"0,0262858412",0,"0,0442313937",0,0,0,0,0,"0,0592814943",0,0,0,0,"0,0294480071",0,0,"0,0727383805",0,0,"0,0501926763","0,053794386",0,"0,0676737507","0,0616719272",0,0,0,"0,0233473479",0,0,0,0,0
"2675,5091152361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0427205114",0,0,0,0,"0,024054868",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0544517648",0,0,"0,0429634433",0,0,0,0,0,"0,0505005432",0,0,0,0,0,0,0,0
"3201,7621273214",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0,0353367988",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
