Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2000.830835439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0089028949,0.0116715861,0.0120778776,0.0267268878,0,0.0093582097,0,0.0061888697,0,0.0224657592,0.0094962185,0,0,0,0,0,0,0.0291904168,0,0,0.0217656363,0,0,0.0242992997,0,0,0,0,0,0,0,0,0
2009.6100076264,0,0,0.0083294108,0,0.0086331245,0.0096884741,0,0,0,0.0079921846,0,0,0.0085761888,0,0.0062066551,0,0,0,0,0.0081430627,0,0,0,0,0,0,0,0,0,0,0.0068337687,0,0,0,0,0,0.009356251,0,0,0,0,0.007423178,0.0067918917,0.0138718393,0.0111583105,0.006682585,0.010003085,0.0085390741,0,0,0.0103930604,0.0097915917,0.0084068056,0,0.0066853419,0,0,0.0075854204,0,0
2016.0929995353,0.0201517812,0.0064186836,0.0258110992,0.0161074527,0.0276695323,0.0384804858,0.024011776,0.0180579547,0.0078482697,0.0135105332,0.0119359749,0.0125759702,0.0242020534,0.0147582816,0.0153015307,0,0,0.0079154489,0.0067591464,0.0345970943,0.0130300351,0.0080252608,0.0154177695,0.0110588173,0.0133761181,0.0068693529,0.0108855773,0.0219306083,0.0196512917,0.0215529577,0.0367396784,0.0066484261,0.014216215,0.0156510749,0.0106624057,0.0077804825,0.0315371894,0.0149032606,0.0167269433,0.0060832613,0.0197284255,0.0257176053,0.0224548359,0.0470895392,0.0526743146,0.021783438,0.0338838955,0.0403087666,0.0109519854,0.0234764742,0.0514369132,0.026477719,0.0260637561,0.0112600107,0.0169448207,0.0159912052,0.0097785512,0.0148562971,0.0097413719,0.0140727132
2033.5362398934,0,0,0.0050408865,0,0,0.0068958722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0079166412,0,0.0065679269,0,0,0,0.0086283225,0,0,0,0,0,0,0,0,0
2041.1213615263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0071001884,0,0,0,0,0,0,0,0,0,0,0,0,0.0098795092,0.0080566822,0,0.0066638437,0,0,0,0,0.0065202789,0,0,0,0,0,0,0,0
2049.9885484832,0,0,0.0061008698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0069562465,0,0,0,0,0,0,0,0.0096300489,0,0.0073718782,0.0069358088,0,0,0.0088154349,0.0082717912,0,0,0,0,0,0,0,0
2058.8749893012,0.0082072051,0,0.0223731486,0.0193279654,0.0223961718,0.0228091166,0.0204508012,0.0191391485,0.0123970188,0.0414686682,0.0093670942,0.0191738356,0.0202626961,0.0079332147,0.0247066599,0,0.0079985789,0,0.0055193431,0.0196211569,0.0294304509,0.0097921539,0.0215306718,0.0155906606,0.0103733463,0.0171846099,0.0090295643,0.0112339839,0.0137044321,0.0136339312,0.0210969948,0.0105402339,0,0.0167987292,0,0,0.0234291673,0.0106426362,0.012754732,0,0.0228267936,0.0160053608,0.0243444024,0.0369749577,0.0322183337,0.018402601,0.0364748477,0.0236508605,0.0365525225,0.0164233925,0.037800334,0.0490452146,0.0133597551,0,0.0198688383,0.0132561989,0.0114369044,0.0205934586,0,0.0120804061
2065.234235232,0,0,0.0099065124,0,0.0088017726,0.0085894602,0.0071702116,0.006870182,0,0.009026663,0,0,0,0,0.0062428832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0085193548,0,0,0,0,0,0,0.0182289289,0.0142283167,0.0069699843,0.0101758897,0.0106140508,0.0076361917,0,0.0127667697,0.0103442517,0,0,0,0,0,0,0,0
2080.5365058962,0,0,0.0058109834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0068713572,0,0,0,0,0,0,0,0,0,0,0,0,0.0094438268,0.0081130259,0,0,0,0,0,0.0078157449,0,0,0,0,0,0,0,0,0
2089.4889616701,0,0,0.011266987,0.0089572329,0.0110632614,0.0118615719,0.0096945503,0.0075287133,0,0.0116294899,0.0054370816,0,0.0132768684,0.005748873,0.0096451133,0,0,0,0,0.014032138,0.0097951672,0.0061139845,0.0101223393,0.0074566951,0.0061030343,0.0071230864,0.0071146537,0,0.0097265178,0.0107296382,0.0162885244,0,0,0.0086054523,0,0,0.0185674188,0.0076717086,0.0084393599,0,0.0095091926,0.0111461469,0.0109951677,0.0089666454,0.0191710613,0.0083395722,0.0105602386,0.0133489882,0.0109090929,0,0.0166962296,0.0108032852,0.012118664,0,0.0093358766,0.007955419,0,0.0080087246,0,0.006960169
