Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
2000.830835439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1147275962,0.1239190109,0.1243988717,0.2674692783,0,0.1252220367,0,0.0679572462,0,0.2417407321,0.0966728346,0,0,0,0,0,0,0.2824008293,0,0,0.1757676192,0,0,0.2334974685,0,0,0,0,0,0,0,0,0
2009.6100076264,0,0,0.1041540812,0,0.1099001193,0.0939934561,0,0,0,0.1130068922,0,0,0.0869240587,0,0.0686020179,0,0,0,0,0.0767567433,0,0,0,0,0,0,0,0,0,0,0.0683889276,0,0,0,0,0,0.1006770769,0,0,0,0,0.0636546513,0.0739518795,0.1553957312,0.1079503645,0.0709166604,0.1082461576,0.0689569878,0,0,0.0998692692,0.1183118835,0.0661186507,0,0.074238502,0,0,0.0844766039,0,0
2016.0929995353,0.2050685034,0.0868788618,0.3227516792,0.1923401349,0.3522345702,0.3733213109,0.2605155468,0.2052870603,0.0968911372,0.1910345492,0.1243875712,0.1730864888,0.2453001878,0.178722384,0.1691274724,0,0,0.0908363721,0.0935536634,0.3261132061,0.2095795234,0.0910162247,0.2056159152,0.1226758774,0.1834106846,0.0986101062,0.1347071084,0.2826098695,0.2086407629,0.2219896324,0.3676722609,0.0968799234,0.1902269178,0.1696251346,0.1170791708,0.1038924937,0.3393530204,0.1517172815,0.2102569352,0.1046277122,0.2602791851,0.2205315831,0.2444940824,0.5275085157,0.5095943045,0.2311693261,0.366667031,0.3255120058,0.11204432,0.3376017723,0.494268937,0.3199304981,0.2049887272,0.1279039412,0.1881666077,0.1806465606,0.1241376558,0.1654502267,0.1195380301,0.1770755945
2033.5362398934,0,0,0.0630331379,0,0,0.0669008201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765890412,0,0.0710733582,0,0,0,0.082911503,0,0,0,0,0,0,0,0,0
2041.1213615263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710551217,0,0,0,0,0,0,0,0,0,0,0,0,0.1106726746,0.0779438595,0,0.0721113011,0,0,0,0,0.0787845836,0,0,0,0,0,0,0,0
2049.9885484832,0,0,0.0762875674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0748520493,0,0,0,0,0,0,0,0.0931652951,0,0.0797731384,0.056009876,0,0,0.0847095084,0.0999481213,0,0,0,0,0,0,0,0
2058.8749893012,0.0835181393,0,0.2797622534,0.2307964854,0.285104419,0.2212843504,0.2218807827,0.2175783248,0.1530479062,0.5863534914,0.0976166677,0.2638946993,0.2053727868,0.0960710116,0.2730821518,0,0.1067350574,0,0.0763934879,0.1849495896,0.473369397,0.1110549423,0.2871393801,0.1729477853,0.1422372718,0.2466864399,0.1117392735,0.14476729,0.1455020467,0.1404258023,0.2111281349,0.153590795,0,0.1820633224,0,0,0.2521073965,0.1083435273,0.1603264152,0,0.3011562795,0.1372479093,0.2650681722,0.414202504,0.3116942187,0.1952913438,0.3947044432,0.1909916797,0.3739506944,0.2361754316,0.3632319619,0.5926137348,0.1050730823,0,0.2206368517,0.1497502348,0.1451902701,0.2293433126,0,0.1520065868
2065.234235232,0,0,0.1238747519,0,0.1120470186,0.0833312905,0.0777931464,0.078101839,0,0.1276340811,0,0,0,0,0.0690024465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0916717325,0,0,0,0,0,0,0.2042049129,0.1376509446,0.0739665873,0.1101161246,0.0857133885,0.0781220824,0,0.1226787789,0.1249896789,0,0,0,0,0,0,0,0
2080.5365058962,0,0,0.0726627191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0687650941,0,0,0,0,0,0,0,0,0,0,0,0,0.1057920542,0.0784889529,0,0,0,0,0,0.0751032614,0,0,0,0,0,0,0,0,0
2089.4889616701,0,0,0.1408866372,0.1069588974,0.1408358863,0.1150759265,0.1051809354,0.085588177,0,0.1644372077,0.0566610921,0,0.1345678507,0.0696186933,0.1066072187,0,0,0,0,0.1322673369,0.1575488051,0.0693400255,0.1349944982,0.0827174002,0.0836835989,0.1022524709,0.0880425903,0,0.1032679239,0.1105123706,0.1630073771,0,0,0.0932652237,0,0,0.1997929988,0.0780990686,0.1060823793,0,0.1254557742,0.0955795611,0.11971824,0.1004465509,0.1854692127,0.0885008738,0.1142752707,0.1077992779,0.1116055081,0,0.1604378478,0.1305361842,0.0953120305,0,0.1036718099,0.0898693416,0,0.0891908183,0,0.0875791358
