Mass,enterococcus_faecium_s_1054_-_d1,enterococcus_faecium_s_1065_-_d1,enterococcus_faecium_s_1269_-_d1,enterococcus_faecium_s_142_-_d1,enterococcus_faecium_s_1508_-_d1,enterococcus_faecium_s_1514_-_d1,enterococcus_faecium_s_1604_-_d1,enterococcus_faecium_s_1841_-_d1,enterococcus_faecium_s_1856_-_d1,enterococcus_faecium_s_1963_-_d1,enterococcus_faecium_s_2090_-_d1,enterococcus_faecium_s_2217_-_d1,enterococcus_faecium_s_276_-_d1,enterococcus_faecium_s_491_-_d1,enterococcus_faecium_s_974_-_d1,enterococcus_faecium_s_g-13_-_d1,enterococcus_faecium_s_g-19_-_d1,enterococcus_faecium_s_g-1_-_d1,enterococcus_faecium_s_g-20_-_d1,enterococcus_faecium_s_g-3_-_d1,enterococcus_faecium_vana_1281_-_d1,enterococcus_faecium_vana_1575_-_d1,enterococcus_faecium_vana_1686_-_d1,enterococcus_faecium_vana_1906_-_d1,enterococcus_faecium_vana_1999_-_d1,enterococcus_faecium_vana_2087_-_d1,enterococcus_faecium_vana_2110_-_d1,enterococcus_faecium_vana_2690_-_d1,enterococcus_faecium_vana_2691_-_d1,enterococcus_faecium_vana_2799_-_d1,enterococcus_faecium_vana_2800_-_d1,enterococcus_faecium_vana_3249_-_d1,enterococcus_faecium_vana_3718_-_d1,enterococcus_faecium_vana_4021_-_d1,enterococcus_faecium_vana_4100_-_d1,enterococcus_faecium_vana_4179_-_d1,enterococcus_faecium_vana_4807_-_d1,enterococcus_faecium_vana_4903_-_d1,enterococcus_faecium_vana_750_-_d1,enterococcus_faecium_vana_918_-_d1,enterococcus_faecium_vana_979_-_d1,enterococcus_faecium_vanb_1080_-_d1,enterococcus_faecium_vanb_1095_-_d1,enterococcus_faecium_vanb_1144_-_d1,enterococcus_faecium_vanb_1213_-_d1,enterococcus_faecium_vanb_1303_-_d1,enterococcus_faecium_vanb_1791_-_d1,enterococcus_faecium_vanb_2038_-_d1,enterococcus_faecium_vanb_2043_-_d1,enterococcus_faecium_vanb_2119_-_d1,enterococcus_faecium_vanb_2167_-_d1,enterococcus_faecium_vanb_2446_-_d1,enterococcus_faecium_vanb_2745_-_d1,enterococcus_faecium_vanb_2_-_d1,enterococcus_faecium_vanb_313_-_d1,enterococcus_faecium_vanb_342_-_d1,enterococcus_faecium_vanb_468_-_d1,enterococcus_faecium_vanb_736_-_d1,enterococcus_faecium_vanb_775_-_d1,enterococcus_faecium_vanb_834_-_d1,enterococcus_faecium_vanb_887_-_d1
1999.5782396298,0.0011801566,0.0007919186,0.0031522001,0.0011755757,0.004144917,0.0035456563,0.0024229527,0.0021163225,0.000814406,0.0021489231,0.0013141554,0.0014306281,0.0018914515,0.0012563936,0.0015772478,0.0005923337,0.0006070974,0.0006662083,0.0006035433,0.002733193,0.0009804533,0.0008067956,0.0010807892,0.0008518878,0.0012292313,0.0007670079,0.0011431741,0.0013427368,0.0014879901,0.0019171242,0.0034377458,0.0006361338,0.0014798005,0.0007634057,0.000934438,0.0006163668,0.0037589675,0.0015186672,0.0017125285,0.0007695327,0.0014807565,0.0024753552,0.002058456,0.0072608441,0.0058516624,0.0029334289,0.0042565607,0.0035753678,0.0014593762,0.0015165661,0.0041772324,0.0028861458,0.0014612235,0.0034368716,0.0008476246,0.0014459245,0.001265133,0.0007763498,0.0014124527,0.0007181276,0.0011727873
2004.5909803305,0.0008808731,0.0006165334,0.0021494189,0.0007808477,0.0023303542,0.0016737188,0.0015561148,0.0012046471,0.0004178699,0.0014959202,0.0007794363,0.0006956315,0.0013799983,0.0009611762,0.0008113754,0.0004947631,0.0004691212,0.0004633669,0.0004654191,0.0021606472,0.0009748207,0.0005775175,0.0007934429,0.0006774127,0.0009878234,0.0006550397,0.000903665,0.0013670734,0.0014791692,0.0019446143,0.0035757614,0.0005621433,0.0015150759,0.0007620712,0.0009334809,0.0005965542,0.0037638703,0.0015173944,0.0011301799,0.0005821871,0.0010107724,0.0020431628,0.001383177,0.0046089325,0.0050537437,0.0022861314,0.0023269073,0.0030352242,0.0009707424,0.0008227057,0.0036482115,0.002029529,0.0007102227,0.002610383,0.0008022118,0.0011312737,0.0009251386,0.0006736173,0.0011061842,0.0005540292,0.0010333852
2009.6100076264,0.0005745518,0.0004572789,0.001234281,0.0009814062,0.0014214091,0.0016094326,0.0009102674,0.0008750067,0.0005722076,0.0015070888,0.0005743297,0.0009229622,0.0012009594,0.0006136396,0.0010067767,0.0003157021,0.0005966398,0.0005060153,0.000388885,0.0011038782,0.0007982108,0.0005040511,0.0005932279,0.0005253052,0.0004353663,0.0004957867,0.0005606615,0.0005410229,0.0005949308,0.0008298845,0.0009142825,0.0004173669,0.0004612006,0.0005030791,0.0005225173,0.0003974915,0.0015675284,0.0007154066,0.0006266361,0.0004585273,0.0009568226,0.0012793076,0.0013015378,0.0026819722,0.0022368528,0.0011735464,0.0021136485,0.0014026849,0.0010326988,0.0007710101,0.0017866453,0.0019397329,0.0008137844,0.0013510904,0.0005129895,0.0011758804,0.0007297876,0.0006251717,0.0012615768,0.0004409967,0.0006586003
2014.6353215596,0.0026729568,0.0009782425,0.0038247783,0.0022381941,0.0045556767,0.0063923117,0.0035525717,0.0028572464,0.0012115048,0.0025247275,0.0018077099,0.0021815658,0.0031435741,0.0018851428,0.0024820495,0.0010613644,0.0008125815,0.0011944698,0.0009350247,0.004025429,0.001327285,0.0010750802,0.0016913139,0.0012913815,0.001640568,0.0007950122,0.0013178612,0.0022017351,0.0018607641,0.0023563225,0.0029318712,0.0007832569,0.0016371852,0.001427566,0.0011759055,0.000957044,0.0035811164,0.0016151069,0.0023601424,0.0009584011,0.0030826818,0.003587676,0.0042161387,0.0091042601,0.010234834,0.0038239265,0.0071596557,0.0064358146,0.0017387827,0.0034826607,0.0082474112,0.0050872394,0.0023428053,0.0038147036,0.0013158619,0.002371804,0.002190702,0.0011777714,0.0020033745,0.0011991287,0.0016540819
2019.6669221723,0.0030726443,0.0010421245,0.0038223367,0.0026219011,0.004356067,0.0054690014,0.0035054897,0.0027983414,0.0011029189,0.0025476857,0.0017514108,0.0020356152,0.0033891144,0.0023331463,0.0022197724,0.0010949645,0.0008238481,0.0011791028,0.0010524986,0.0046900018,0.0023991397,0.0011201705,0.0019169532,0.0015921113,0.0018511208,0.0009753331,0.0015215431,0.0033675284,0.0025053088,0.0034701618,0.0049153618,0.000982225,0.0023015775,0.0023252742,0.0016098832,0.0011993884,0.0052836803,0.0023833795,0.0023676924,0.0009825347,0.0032267757,0.0044321619,0.0043030454,0.0090346262,0.0105593665,0.003825447,0.0069497216,0.0066213854,0.0017731245,0.0031627334,0.0088423923,0.0052452863,0.0022060074,0.0041888075,0.0017327871,0.0029804134,0.0024242486,0.0015575802,0.0024708399,0.0012847846,0.0020718859
2024.7048095068,0.0005440535,0.0003126608,0.0007102897,0.0005275264,0.0005811616,0.0004730835,0.0005053423,0.0003959417,0.000111622,0.0004052045,0.0002404503,0.0002048955,0.00061222,0.0005139585,0.0002368933,0.0002695335,0.0001899045,0.0002759589,0.0002488481,0.0009057434,0.000775986,0.0002490969,0.0004274443,0.0003926599,0.0004200264,0.0002623347,0.0003956229,0.0009120876,0.000750975,0.0010435085,0.0018134776,0.0002738179,0.0004967524,0.0007666579,0.0004672801,0.0003456569,0.0016417237,0.0007718252,0.0004476813,0.0002548919,0.0004404517,0.0010323304,0.0005473017,0.0013723755,0.001619079,0.000538665,0.0006799338,0.0009590214,0.0002938105,0.0002906968,0.0016740761,0.0006861655,0.0006249,0.0008028512,0.0004863225,0.0005203761,0.0004467544,0.0003906091,0.0005439903,0.0003131433,0.0005035471
2029.7489836053,0.0003249703,0.0002951614,0.0005893969,0.0003112267,0.0007206774,0.0011369597,0.0005081362,0.0004585979,0.0002511774,0.0003947542,0.0002888821,0.0004243864,0.0004265412,0.0002205204,0.0006124262,0.0002518631,0.0001903627,0.0002657311,0.0001563248,0.0003328226,6.1612e-05,0.0001651656,0.0001542305,0.0001154733,0.000219442,9.43605e-05,0.0001902544,0.0002194927,0.0001656906,0.0002018517,0.000215032,0.00010786,0.0002746393,0.000118756,0.0001851895,0.0001743575,0.0001973608,0.0001463344,0.000258969,0.00020557,0.0003451008,0.0004109375,0.0005667555,0.0010965645,0.0010446964,0.0005614455,0.0011406569,0.0006846519,0.0002917877,0.0005335783,0.0008858457,0.0006886597,0.0009915522,0.0003689905,0.0001794999,0.0003040589,0.0002613175,0.0001247048,0.0002412929,0.0002923568,0.000209139
2034.79944451,0.0005079926,0.0003150464,0.0007469761,0.0005527678,0.0008067503,0.0011455304,0.000601111,0.0005384195,0.0002744328,0.0006390508,0.0003263071,0.000450364,0.0007347278,0.0004409508,0.000645118,0.0002846147,0.0002637098,0.0002852911,0.0002497827,0.0007223805,0.0003651027,0.0002172795,0.0002748454,0.0002386705,0.0003138107,0.0002059753,0.0002740225,0.0004830516,0.000339499,0.0004863168,0.0006075808,0.0001977578,0.0003325158,0.000317763,0.0002794536,0.0002474767,0.000610659,0.0003452384,0.0003623106,0.0002356682,0.0004966325,0.0009315158,0.0008274113,0.0014007963,0.001587011,0.000738495,0.0013878007,0.0009807341,0.0005139314,0.000559151,0.0014832735,0.0010733997,0.0007324072,0.0006950203,0.00035624,0.0007566171,0.0004489699,0.0003729479,0.0006256734,0.0004037798,0.0004339798
2039.856192263,0.0003292193,0.0002722071,0.0006406994,0.0005581823,0.000871592,0.0007500014,0.0006455968,0.0005894311,0.0003106052,0.0012176308,0.0003388129,0.0005630827,0.000563596,0.0003596403,0.0005655237,0.0002700744,0.000232348,0.0002397454,0.0001591252,0.0006688668,0.0007854259,0.0002804015,0.0004895769,0.0003636892,0.0003584137,0.0003662252,0.0003209253,0.0005438544,0.0004841012,0.0004647123,0.0009499265,0.0003131794,0.0003969224,0.0003770392,0.0002889785,0.0002406357,0.0010508718,0.0005312288,0.0005126382,0.0002767915,0.0007351708,0.0006003872,0.0008100321,0.0019100977,0.0016150843,0.0005641866,0.0014080679,0.0006608337,0.0007659182,0.0005395501,0.0011074606,0.0012916796,0.0007610016,0.0007359616,0.0002551008,0.0006156053,0.0003711387,0.0003427721,0.0006390904,0.0003255134,0.000421384
2044.9192269067,0.0003097524,0.0002693384,0.0004691611,0.0005345908,0.000591269,0.0006777415,0.0004296532,0.0003548197,0.0003388841,0.0009783295,0.0002534951,0.0003834306,0.0004654512,0.0003355331,0.0005921427,0.0002437853,0.0002234583,0.0001944215,0.0001527615,0.0005536516,0.0007853567,0.0002387431,0.0004446795,0.000347558,0.0003064951,0.0003649817,0.0002969282,0.0004730103,0.0004491452,0.0004557675,0.0008566853,0.000302141,0.0003255301,0.0003774632,0.0002525648,0.0002134037,0.0009784445,0.0004966909,0.0003685897,0.0002459288,0.0005133384,0.000596544,0.0005556323,0.0011228098,0.0011267267,0.0004764832,0.0008241566,0.0005579012,0.0006813407,0.0004271262,0.0009376439,0.0010291368,0.0006724296,0.0005101772,0.0002209979,0.0006034734,0.0003368995,0.0003334094,0.0006225499,0.0003015515,0.0003740291
