Mass,L1a1,L1a2,L1a3,L1a4,L1a5,L1b1,L1b2,L1b3,L1b4,L1b5
349.99,0.0001251272,0.0003072218,0.0001976128,0.0003153427,0.000780465,0.000330041,0.0003680628,0.0004526107,0.0001821989,0.0001607895
351.4,0.0002867499,0.0008459604,0.0004047793,0.0006215966,0.000903494,0.0041696341,0.0038667508,0.0079380595,0.0059396842,0.0053471756
352.77,0.0001746568,0.0002508832,0.0003695811,0.0001240822,5.51067e-05,0.0004224525,0.0003293744,0.0002432145,0.0003543637,0.0003849314
354.13,0.0001655329,0.0002816934,7.19049e-05,0.0001908653,0.0001678833,0.0002244279,0.0006106497,0.0006573742,0.0001193535,0.000233404
355.49,0.0002176693,0.000416378,0.0001468268,9.16786e-05,0.0001093591,0.0008275345,0.0006331308,0.0019109714,0.0005032915,0.0025085378
356.85,0.0003063011,0.0001566919,4.32435e-05,0.0002394708,0.0001909512,0.0004578885,0.001997159,0.0006096578,0.0011280489,0.0028490113
358.22,0.0002398272,0.0002253547,0.0001438098,0.0001292194,0.00019266,0.0007990467,0.0008830371,0.001788206,0.0007430547,0.0001315213
359.59,0.000235917,0.0001461284,9.20182e-05,0.0001422599,0.0003028734,0.0004516351,0.0009677333,0.0011651135,0.001648768,0.0024099894
360.97,0.0003675613,0.0001549314,0.0001005663,8.65414e-05,0.0001401163,0.0001889919,0.0001364551,0.0002909309,0.0001188254,0.0003434374
362.36,0.0003063011,0.000769375,0.0002458846,0.0001991638,0.0002063298,0.0060060519,0.0091508571,0.0115663573,0.0074521992,0.0067679764
363.74,0.0003010874,0.0009876874,0.003979408,0.0047593832,0.0018193764,0.0010248642,0.0038787756,0.0045205477,0.0022270515,0.0031246504
365.17,0.0008367885,0.0005184918,0.0008221294,0.0010709007,0.000685203,0.0004988831,0.0016186399,0.0013068728,0.001091081,0.0010566164
366.55,0.0002489511,0.0001514102,0.0001996241,0.0002477693,0.0001332814,0.0004655316,0.0017263401,0.0028578867,0.0023875978,0.0005031154
367.98,0.0047418012,0.0018310069,0.0017941026,0.0033514056,0.0014396099,0.0053327682,0.006350652,0.0019874103,0.0030461544,0.0042435078
369.38,0.0056085681,0.0038055013,0.0042841239,0.0047040599,0.0031671417,0.0125061231,0.0080132084,0.0052196158,0.0110137917,0.0087478355
370.81,0.0006634351,0.0012394508,0.000623511,0.0011005382,0.0003131258,0.0016147692,0.0016442579,0.0022014391,0.0024044974,0.0051926843
372.19,0.0012708236,0.0012544158,0.0002182288,0.0007227592,0.0009410862,0.0014223031,0.0025921242,0.0026216212,0.0011264645,0.0011547943
373.58,0.0002189727,0.0001734175,0.0002599639,0.0001035336,4.95533e-05,0.0005836515,0.0002598398,0.0011539951,0.0003570042,0.0003604796
374.97,8.99352e-05,0.0001091562,0.0001277192,7.58719e-05,0.0001038057,0.0002556949,0.0001124055,0.0004109168,7.81607e-05,8.18767e-05
376.4,6.12602e-05,0.000169016,0.0001161541,0.0001205257,0.0001025241,0.0004933245,0.001096869,0.0001491716,0.0006659502,0.0001674581
377.8,0.0002254897,0.0001848613,6.68766e-05,0.0002564629,6.40776e-05,0.0009234201,0.0012260047,0.0028198989,0.0001526246,0.0031087196
379.18,0.0001472852,0.000126762,0.000125205,7.54768e-05,0.0001627571,0.0002702862,0.000968779,0.0019359878,0.0004467834,0.0018298136
380.57,0.0002228829,0.0004269415,0.0002916422,0.0001066949,0.0001080775,0.001136036,0.0027552429,0.0014375138,0.0012806734,0.0007802364
381.97,0.0003401897,0.0002887357,8.84983e-05,0.0002817536,0.0002259803,0.0010971259,0.0003115986,0.0015227547,0.0023337303,0.0011685022
383.37,0.0001407682,0.0001813401,3.77124e-05,0.0001232919,0.0002161551,0.0004036923,0.0003863614,0.0005332189,0.0006157795,0.0003560338
384.82,0.0001524988,0.0001408467,0.0006275336,0.0003331252,0.000143961,0.0011930115,0.0010529524,0.0011512155,0.0010171452,0.0029238488
386.24,0.0007051442,0.0003125036,0.0014235158,0.002373369,0.0001751454,0.0097448957,0.0087299899,0.007696698,0.0106398878,0.0231736874
387.65,0.0042321684,0.0056919665,0.0031311314,0.007671759,0.0005395333,0.0167438499,0.0146252687,0.011865627,0.0248413681,0.0482931496
389.04,9.77557e-05,0.0002632072,5.58143e-05,0.000145026,6.83494e-05,0.0005093054,0.0008929706,0.0001056246,0.0006907715,0.0014774847
390.44,0.0004822613,0.0001461284,0.0009191759,0.0013111619,0.0004417082,0.0004287059,0.0007716771,0.0001978145,8.81948e-05,0.0023470074
