"Mass","L1a_1","L1a_2","L1a_3","L1a_4","L1a_5","L1a_6","L1a_7","L1a_8","L1b_1","L1b_2","L1b_3","L1b_4","L1b_5","L1b_6","L1b_7","L1b_8","L21a_1","L21a_2","L21a_3","L21a_4","L21a_5","L21a_6","L21b_1","L21b_2","L21b_3","L21b_4","L21b_5","L21b_6","L21b_7","L21b_8"
529.98,73.49,37.87,95.75,77.78,57.45,116.98,78.19,61.58,0,1.65,10.12,4.38,1.46,7.82,4.71,4.75,6.6,14.54,25.18,0,7.24,5.02,7.79,0,11.94,37.24,0,9.5,34.1,3.01
530.57,0,0,0.86,0,84.28,99.38,0,114.85,6.85,0.92,8.63,7.02,0.84,6.28,0.52,4.03,10.23,10.28,7,14.71,8.21,13.3,4.54,6.14,7.75,21.72,7.62,9.02,14.03,12.44
531.14,131.21,102.13,104.88,84.86,72.39,25.99,89.28,13.18,5.73,14.91,14.01,12.47,5.14,3.19,7.69,19.57,5.1,0,0,8.81,2.66,3.1,0,0,16.79,2.46,0,0,3.6,30.09
531.7,36.71,25.75,51.97,11.74,0,34.78,0,24.7,0.82,10.06,5.72,3.17,5.27,1.89,2.47,5.85,974.9,288.83,853.02,790.17,672.27,251.94,327.25,294.8,366.76,876.27,766.06,690.76,730.16,740.86
532.3,38.6,39.37,39.81,21.5,198.42,65.99,45.11,29.17,12.18,5.41,4.01,5.54,8.14,2.32,12.52,8.02,41.01,96.51,64.67,38.87,29.97,40.72,57.39,37.63,91.16,51.44,54.99,34.78,75.35,25.43
532.87,82.11,102.82,64.66,50.29,50.05,57.09,59.24,56.35,1.49,10.81,7.46,0.87,19.1,22.49,5.36,18.94,70.5,51.48,37,18.25,46.69,51.77,32.86,35.26,55.97,22.48,32.23,20.2,33.41,25.94
533.46,16.78,48.08,27.94,18.57,39.07,35.29,11.69,3.34,0,4.88,4.08,1.65,5.79,4.54,6.24,5.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
534.03,48.89,24.8,60.08,49.36,23.15,56.93,19.75,14.39,25.01,8.69,30.84,10.61,40.61,28.64,30.47,44.33,7823.26,7591.9,7048.42,7084.38,6689.59,5740.03,2623.52,6882.27,8770.92,7253.67,7367.24,7025.46,7113.91,7477.05
534.59,5.85,0,13.24,0,5.03,4.49,19.97,11.91,5.47,10.55,13.6,12.94,11.43,18.86,10.77,5.45,552.74,564.38,355.91,515.05,398.68,1011.16,561.84,552.04,560.27,496.23,509.12,609.9,425.11,455.31
535.16,77.99,64.72,29.14,317.69,305.16,73.88,202.87,93.09,16.1,27.31,14.25,24.1,15.94,31.68,11.57,69.92,1348.59,1207.11,1060.99,1158.6,915.07,0,1375.97,1291.21,1236.33,1261.94,1300.14,1243.3,852.71,1247.64
535.73,344.51,0,58.71,59.28,182.52,254.31,214.01,196.26,2.14,5.08,0.26,0.8,14.53,3.25,7.01,5.8,283.71,462.05,448.36,564.55,205.95,275.53,446.98,179.53,652.56,399.68,464.51,224.53,433.04,549.73
536.37,1.77,239.97,22.92,30.63,0,0.25,12.58,4.45,5,4.42,3.25,4.81,3.43,6.62,4.78,3.16,21.06,0,3.31,0,59.48,24.08,0,43.24,0,0,0,37.71,0,0
536.94,27.27,3.67,0,15.13,45.72,30.95,9.13,14.58,1.14,2.39,10.84,3.1,0.6,5.53,4.59,14.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
537.54,4.31,31.98,35.27,1.04,2.22,0,1.07,0,9.37,2.39,1.86,8.53,13.73,5.05,4.49,4.73,19.67,16.2,7.4,13.33,18.72,7.59,0,5.24,0,0,6.96,0,0,2.2
538.11,228.33,257.3,189.43,127.13,225.7,154,94.3,100.35,5.96,4.33,7.15,10.01,2.48,11.29,12.1,7.36,0,0,14.93,19.47,2.6,0,15.05,7.58,14.22,13.4,0,0,30.99,23.98
538.67,53.89,23.24,8.73,8.14,10.68,26.98,9.05,12.78,0.1,2.5,5.76,5.31,6.67,2.65,9.44,6.99,31.82,28.1,19.71,20.08,36.17,8.85,38.12,24.18,37.29,17.88,18.77,18.4,16.72,40.06
539.24,10.69,9.56,46.22,13.64,67.88,45.21,33.4,12.68,8.49,3.04,0.87,7.75,1.84,17.12,3.16,8.29,379.56,250.7,312.72,295.83,340.96,57.05,259.41,52.88,129.55,79.7,110.26,99.08,75.41,71.51
539.81,5.22,0,10.18,2.59,0.79,4.91,5.47,1.34,1.24,6.56,2.31,0.75,0.75,2.1,3,3.85,45.59,35.47,41.3,14.59,13.51,43.8,30.09,41.92,50.94,18.71,38.97,8.7,39,37.29
540.39,40.56,48.21,39.33,23.85,61.53,26.14,40.31,53.8,2.84,15.19,4.31,20.26,6.07,8.39,15.9,20.5,65.19,38.33,36.16,27.4,43.6,22.33,30.22,33.76,37.55,21.81,21.46,19.21,143.01,46.37
540.96,13.61,16.09,23.39,15.48,22.64,19.14,24.78,17.16,7.02,13.51,24.62,13.75,26.53,17.49,6.68,33.48,113.38,15.44,39.46,120.65,26.54,16,17.23,85.1,26.06,39,53.25,25.89,8.42,24.4
541.52,0.37,7.58,8.9,0,2.48,0.72,18.54,0,4.36,2.99,0,5.68,1.68,0.65,5.95,1.3,51.75,26.51,27.19,14,24.3,15.75,14.98,41.56,21.42,19.55,2.44,18.94,23.5,40.01
542.08,255.33,136.48,185.4,155.23,114.07,139.89,163.4,154.01,85.08,97.82,51.04,113.91,78.94,45.7,50.65,82.62,15.57,22.21,47.7,18.48,24.76,16.75,33.25,45.48,55.33,16.58,50.19,5.17,64.88,32.9
542.64,135.26,216.54,136.55,74.09,123.96,101.14,59.63,29.91,19.46,1.37,38.96,0,67.59,61.14,40.58,24.37,47.09,17.4,82.61,39.18,17.94,62.84,5.07,39.24,71.12,31.01,12.21,99.27,64.07,85.8
543.21,12.86,0,0,3.74,9.15,9.26,1.32,5.16,2.13,78.47,8.05,70.74,0,1.28,14.29,5.47,5.62,8.43,17.2,28.57,10.55,3.22,20.01,3.97,12.7,8.43,16.52,0,8.45,23.86
543.84,737.8,924.36,801.34,468.1,745.46,645.01,436.06,285.92,3.13,7.68,2.26,4.21,0.32,4.5,21.3,1.98,82.72,96.34,90.77,11.86,13.14,35.88,11.35,93.31,27.16,67.31,69.37,72.5,40.74,14.69
544.41,4.73,0,3.39,0,0,0,0,0,1.11,8.15,1.32,8.13,6.96,4.2,2.81,1.72,5.75,7.14,6.31,11.57,6.07,9.27,11.43,0,3.14,0,5.94,6.3,7.12,7.53
544.97,152.18,181.24,101.76,185.08,110.14,117.11,94.34,101.09,11.34,5.25,11,35.9,12.33,19.93,6.42,11.44,17.13,7.97,69,35.91,98.34,10.77,19.39,13.7,21.08,106.9,143.74,25.12,11.31,49.58
545.66,669.82,738.56,584.37,676.49,471.2,761.22,420.18,433.96,1.66,15.78,30.93,1.94,8.45,4.53,3.05,3.74,12.38,36.36,0,22.61,0,9.37,0,4.87,0,0,0,6.57,0,6.82
546.22,0,0,0,0,2.46,0,0.43,0,34.95,15.02,10.62,28.11,24.77,47.98,31.86,15.59,37.66,43.86,17.45,12.67,18.46,23.76,20.6,40.91,36.05,14.54,19.38,12.97,13.34,6.22
546.81,132.51,110.5,58.95,128.74,51.44,107.29,117.23,169.08,2.05,9.11,14.05,0.82,2.33,8.45,4.33,0,15.44,8.6,7.8,7.07,4.99,6.13,7.54,7.88,15.98,0,6.52,5.78,10.2,0
