"Mass","P1aDD_1","P1aDD_2","P1aDD_3","P1aDD_4","P1aDD_5","P1aDD_6","P1aDD_7","P1bDD_1","P1bDD_2","P1bDD_3","P1bDD_4","P1bDD_5","P1bDD_6","P1bDD_7","P1bDD_8","P21aDD_1","P21aDD_2","P21aDD_3","P21aDD_4","P21aDD_5","P21aDD_6","P21aDD_7","P21aDD_8","P21bDD_1","P21bDD_2","P21bDD_3","P21bDD_4","P21bDD_5","P21bDD_6","P21bDD_7","P21bDD_8"
1999.99,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,9.22,0,0,0,0,0,0,0,3.41
2002.51,0.73,2.8,0,6.55,0,4.94,4.03,0,2.41,0,0,1.36,1.18,2.29,7.58,0.73,2.29,0,0,2.55,0,0,0,0,0,9.04,0,0,23.99,5.87,0
2005.52,1.38,0.86,0,0,0,26.26,0,0,5.17,3.22,2.03,9.74,16.69,0,0,4.23,0,1.18,9.28,3.12,4.06,4.38,10.07,3.16,6.39,0,4.62,2.42,0,0,5.6
2008.05,0,8.15,9.87,0,46.25,0,18.46,16.15,0,9.89,2.73,0,0,18.31,13.4,6.59,5.33,3.94,0,11.43,1.72,7.38,0,0,0,6.23,1.55,3.54,0,5.65,0
2011.06,2.26,0,0,0,0,0,0,0,0,0,0,2.36,0,0,0,1.07,1,0,0,0,1.99,0,2.34,3,0,0,3.28,0,0,0,0
2013.58,0,0,1.08,5.15,0,5.67,0.75,3.8,0,2.38,8.96,0,2.72,2.92,0,3.14,1.4,1.7,0,3.16,0,0,0,2.18,2.65,2.71,0,0,5.65,9.07,1.63
2016.2,0.87,1.63,0,0,3.35,0,0,0,2.91,0,0,3.07,7.5,0.94,0,0,5.13,2.15,0,0,0,1.95,1.92,6.99,0,0,0,1.39,3.3,0.59,0.91
2018.84,2.57,0,10.77,0,0,0,3.53,0,4.16,0,6.68,0,0,0,0,2.66,6.65,0,8.43,4.71,6.44,3.69,18.78,10.58,0,0,4.3,14.59,0,0,11.09
2021.49,0,29.37,0,6.43,57.65,36.85,17.07,35.7,0,42.17,0,27.82,31.7,25.31,0,6.73,0,5.92,4.23,0,6.62,8.7,0,0,13.38,19.9,0,0,10.68,17.11,0
2024.06,5.11,0,0,0,0,0,0,0,2.22,0,6.35,0,0,0,48.57,0,1.7,0,0,0,0,0,0,0,0,0,8.84,0,0,0,0
2027.66,0.82,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
