"Mass","enterococcus_faecium_s_1054_-_d1","enterococcus_faecium_s_1065_-_d1","enterococcus_faecium_s_1269_-_d1","enterococcus_faecium_s_142_-_d1","enterococcus_faecium_s_1508_-_d1","enterococcus_faecium_s_1514_-_d1","enterococcus_faecium_s_1604_-_d1","enterococcus_faecium_s_1841_-_d1","enterococcus_faecium_s_1856_-_d1","enterococcus_faecium_s_1963_-_d1","enterococcus_faecium_s_2090_-_d1","enterococcus_faecium_s_2217_-_d1","enterococcus_faecium_s_276_-_d1","enterococcus_faecium_s_491_-_d1","enterococcus_faecium_s_974_-_d1","enterococcus_faecium_s_g-13_-_d1","enterococcus_faecium_s_g-19_-_d1","enterococcus_faecium_s_g-1_-_d1","enterococcus_faecium_s_g-20_-_d1","enterococcus_faecium_s_g-3_-_d1","enterococcus_faecium_vanb_1080_-_d1","enterococcus_faecium_vanb_1095_-_d1","enterococcus_faecium_vanb_1144_-_d1","enterococcus_faecium_vanb_1213_-_d1","enterococcus_faecium_vanb_1303_-_d1","enterococcus_faecium_vanb_1791_-_d1","enterococcus_faecium_vanb_2038_-_d1","enterococcus_faecium_vanb_2043_-_d1","enterococcus_faecium_vanb_2119_-_d1","enterococcus_faecium_vanb_2167_-_d1","enterococcus_faecium_vanb_2446_-_d1","enterococcus_faecium_vanb_2745_-_d1","enterococcus_faecium_vanb_2_-_d1","enterococcus_faecium_vanb_313_-_d1","enterococcus_faecium_vanb_342_-_d1","enterococcus_faecium_vanb_468_-_d1","enterococcus_faecium_vanb_736_-_d1","enterococcus_faecium_vanb_775_-_d1","enterococcus_faecium_vanb_834_-_d1","enterococcus_faecium_vanb_887_-_d1"
2016.0929995353,2562.1788517093,577.601658284,5997.3381058061,2297.6570356423,4034.4163649239,4962.3448409015,4901.9984849705,3729.3241431757,2005.5138972383,1777.3578427285,2481.2585504949,1811.1637175317,4214.0337919171,2064.3185316065,3295.8424667636,365.7280474232,1290.5863018628,409.805244866,769.2390754166,5227.3708012845,3154.9111828749,1511.8493091455,8457.5007109442,5764.188493231,1866.3070444845,4516.9219557942,5400.3522782047,2665.338355329,2447.3839780268,9813.2802504915,3305.1205737668,2642.8045132704,2220.5277504927,2143.9194335249,750.8006269084,3074.795144341,1172.7673962062,1330.2290821645,98.3683107194,2325.1056072844
2089.6921407077,751.1759422239,291.8389890982,2617.9408279039,1277.7097373596,1613.1028930956,1529.6379112489,1979.1401788516,1554.8279293254,1344.3526547466,1529.9000198822,1130.2642043172,783.6765668085,2311.753103376,804.1251214186,2077.4897997748,87.6200880251,1036.7827823721,198.1510138761,404.9763050669,2120.1546019658,1367.3552869281,740.2876038068,1610.4513020212,2097.9031603986,714.4970613906,1407.741726709,1788.4258206341,2654.899789884,734.3592902572,3185.3540565045,1348.5361058266,1269.9011083045,1032.4616940311,846.5532494972,413.6592609243,1529.6710563277,636.383300207,717.0991708948,22.7770319092,1149.9650206112
2106.3698652473,446.4544346266,190.5460539849,1382.1908751319,710.4496707722,804.9059682806,667.100901434,960.4722480118,829.4240433128,579.2715244897,761.3828910121,519.0935591671,408.2799075512,1080.9862787475,476.2513371066,896.8017525094,85.7777205736,574.4840595625,99.493053087,247.2782483576,1105.4402726061,794.5804485471,429.2126373518,1562.4566805676,1106.1668394457,375.6696390219,797.0259157539,908.5695443338,1203.6185066702,379.8111184588,1569.3107383559,729.6981254461,642.7621257207,544.9833428554,500.9691571156,231.3111746268,815.0421901677,382.8712691169,428.0878382527,19.9013828766,587.3127884079
2162.0078398994,217.9554989364,103.8647033528,727.242732792,439.8515646817,439.1637681697,345.3620404647,571.690164642,414.4920794808,406.318898343,648.0729677409,292.7650767637,305.1933883376,576.4973382842,226.8303636026,652.8852638289,60.137500592,326.3646537338,67.8399918674,131.6345759625,551.4662781771,383.6551270985,231.6956380274,873.8010834251,538.6409339704,237.3417935631,538.4432108932,438.6946542114,983.411584564,229.1719553831,898.1740962984,499.6954843104,416.0751682266,256.1432951932,203.7834498243,145.8275166642,411.3859982345,203.2885990629,245.6276186763,21.7599013241,327.1454447879
2222.1235922408,678.3117004213,211.7161394035,1188.3007998479,909.4831260272,1087.762643192,938.8020619552,1274.8907852855,946.0089526406,792.2756369352,915.824084579,745.7184552318,640.6976095679,1215.8517905611,597.1274545532,1185.8667602186,150.821395334,441.1628498571,115.7053399587,223.1721108845,1297.130508463,981.5259883281,471.2446881878,1600.3233766341,1705.3762369123,621.5796493498,1385.1063816657,1458.2137093895,1471.9896934792,754.3033662258,2347.6640828825,1162.5865412161,1408.2502617171,608.4870066326,616.082549874,266.0709886608,854.5397648983,523.2502051046,530.5760575483,23.4735889817,701.1617275104
2259.2483721689,160.9244338046,62.0443362725,568.8938599488,210.6448495255,236.0305215137,424.8180892028,325.6494217162,419.2522902607,219.4387242937,219.5727136001,177.9239054461,263.4162227701,292.5029178942,104.5114149827,279.8704164884,51.3015184582,147.0451531061,45.6412739201,66.2062546512,244.0699866267,192.0228702026,90.2851581051,1865.4404574644,270.0516374292,120.7432175409,331.7134787293,274.4865265144,274.9201171724,142.3028279051,385.7247447492,252.9981567989,532.2312215809,115.9716168769,113.6383281515,80.788653788,201.6119180988,137.5544101727,153.1388975314,16.6426071669,181.8170150844
2275.4640452023,117.897649827,63.7879435413,318.1990019482,231.8707746659,142.3106376535,235.8509642439,221.910971403,201.9220217598,156.1491815921,209.3038461887,138.7286953249,201.7008184072,313.3934034789,124.6333193477,274.5949703611,52.2858325359,172.7630954399,53.1626794315,73.344186229,269.33661868,208.0583175839,109.2489446175,596.1973381905,242.4185345945,92.117550955,201.6144141672,209.3845999769,276.900598577,142.2060837958,327.8574518022,171.1574320698,210.5780384898,137.1335712825,99.5326000291,83.5362557354,225.9596306853,140.2279226208,127.1902803801,16.7791479727,183.6942423972
2326.4216517786,294.8570682006,95.8025204676,1074.6821618851,650.9889912581,728.8584799418,617.035121264,853.5179586715,718.2186772152,596.7944451166,836.157830443,450.4936592436,408.1069616646,1072.2782564309,335.6336742319,876.6840835666,41.8605951037,495.6289676998,104.4197475409,204.2934484804,998.6607371203,674.1278523465,392.529338185,1046.1896378788,858.5491351402,334.4398726059,710.3213905655,768.9625501368,1263.7807142193,298.7625866283,1363.4369132494,765.5786314066,866.4892332916,488.3845848475,332.4782421354,237.3861598661,778.7506481047,348.5385934511,406.6861413619,20.3605803733,529.7353799572
2405.3180154882,1035.0790001571,278.7907098329,6239.391612906,2154.8756724115,4154.1208102066,3539.9165054247,4909.7173526179,4034.8485963534,3333.4295580423,4729.4675308982,2397.2851278154,2250.384354183,3653.3838913174,1138.1499265507,5331.0904711153,68.2223519234,1624.649733722,275.200187035,618.7965431167,3421.0249830385,2234.3430725379,1359.2488891934,5689.1963836899,4712.2669863412,1820.7354938258,4287.3481200445,4272.6514669831,7785.9271545043,1645.9061524052,7971.6378300323,4470.6160327977,4097.8311849177,1597.0140975493,1161.0853988388,723.1964327545,2438.2626155303,1106.7548729599,1355.1085910934,18.8378473236,1750.8281890039
2457.0102791846,172.1063584276,58.891790834,516.0204944638,358.6393061746,339.0918901702,278.4154637085,381.2507244214,334.0578296101,279.1640474822,415.502401307,201.557184173,224.5128335254,506.1171433224,188.6092360242,415.760171869,36.6371457164,248.5239522478,51.8742835792,104.5720616936,450.6888965868,341.7069248512,176.0270236991,552.1589553595,425.3453884885,160.1552063732,331.8107655655,388.9146925571,589.3225727066,157.4373808575,618.9335600008,366.8930563459,369.1578085438,222.8276735191,169.4090652724,101.6607644768,354.5151673421,211.7248234315,219.7387619327,15.6212748814,253.3264833938
